bus,bus_id,name,annual_TWh,annual_pct,year_peak_valley,year_std,year_peak_hour,year_valley_hour,aug_peak_valley,aug_std,aug_peak_hour,jan_peak_valley,jan_std,jan_peak_hour,season_peak_shift
bus_140,140,장흥,0.4040794744862107,0.07349079260140548,1.3023283575767735,0.0914745437947971,11,3,1.538172136209809,0.15530617750003786,13,1.2051359903582972,0.05893713284533758,9,4
bus_103,103,부여,0.6772636900835572,0.12317538634616237,1.258186008717334,0.07979461439562704,11,3,1.5405874147809309,0.155431679214317,13,1.1557751549225783,0.04229535115209797,8,5
bus_120,120,순창,0.27107318099725,0.04930065539657092,1.3237249542664002,0.0986305433575122,11,3,1.5406609986690674,0.15594371087517825,13,1.256559324613256,0.07227286189637122,9,4
bus_163,163,청도,0.4885203110927594,0.08884822697253142,1.2627303540489565,0.07858474541443419,18,3,1.5431007568718247,0.15753046281668528,13,1.146081934969749,0.045256036196870734,8,5
bus_100,100,보령,1.614503588074857,0.2936331980145735,1.3328409353329427,0.10242011024215762,11,3,1.5432180972038363,0.1562458640141057,13,1.228044234482346,0.06612168946095552,10,3
bus_21,21,서인천,7.084809805544971,1.2885294129372495,1.37539440158342,0.11359695719571475,11,4,1.5438574596826995,0.15477689805996867,14,1.383580553052425,0.10944507066794215,10,4
bus_153,153,영천,1.8582210843382458,0.3379586169040146,1.372202125856781,0.11058071367814316,10,3,1.5472196716961482,0.1556638402988462,14,1.333697886548587,0.09375482691858211,9,5
bus_171,171,산청,0.35900436033394156,0.06529288581620912,1.2708938116442743,0.08294421978316815,11,3,1.549325331090956,0.15955296358878662,14,1.162167581806096,0.04301426665560837,8,6
bus_164,164,합천,0.4532297005313488,0.08242984864524,1.283243364556241,0.08473176264192396,18,3,1.5510699185771566,0.15891661687282554,13,1.1626076073383904,0.04526498712184919,8,5
bus_88,88,영양,0.17702711540442037,0.03219629762079216,1.3427169118840914,0.1013431594215013,18,3,1.5520499096478975,0.15754541192128016,13,1.3047021711305749,0.08723596698155113,10,3
bus_122,122,담양,0.5603226254326231,0.10190706644504198,1.3161843002724924,0.0976200602652511,11,3,1.5544809437437368,0.161252562174514,13,1.2115495108403505,0.06007434348788645,9,4
bus_131,131,나주,1.4517992013442578,0.26404180549021655,1.3327618827352272,0.1001717672201321,11,3,1.5546269605193126,0.15795282746679987,13,1.2360753559588034,0.06371468530561801,9,4
bus_176,176,마산,2.958749930455203,0.5381141365197614,1.3669341829924875,0.10988597149449474,10,4,1.5552443592335081,0.1558636694619305,14,1.3513196505409562,0.09968579783764457,9,5
bus_142,142,고흥,0.6258271564281088,0.11382051467935918,1.2611844665699212,0.0764049877483104,18,3,1.5605648285108502,0.1609620893602273,13,1.1413431199897552,0.04130451138478061,8,5
bus_147,147,영동,0.5520908071007492,0.10040992815429012,1.3365210192259593,0.09973718595829796,11,3,1.5647491737883603,0.16027469470074343,13,1.2969770117589243,0.0818383962337472,10,3
bus_111,111,김제,1.4490993972936668,0.26355078639106855,1.355905669093893,0.1062660990171844,10,3,1.5655227485632137,0.16089470777092646,13,1.26705565763081,0.07242445321299484,9,4
bus_63,63,홍성,1.3553613650239162,0.24650245129025863,1.346254418506829,0.10481376804404552,11,3,1.5698079438078272,0.161221229264961,13,1.2780650360436627,0.07680418945907427,9,4
bus_183,183,진해,5.200498161692586,0.9458256505379181,1.3851213342277808,0.11496445968064184,10,4,1.5760275859722088,0.1603524853797332,14,1.3705712798924372,0.10506485525853325,9,5
bus_59,59,태안,1.0979889873396278,0.19969359010329402,1.4171015438740466,0.12078976707384806,18,3,1.576998062888763,0.1680806506176461,13,1.320902037216771,0.08950367797523415,18,5
bus_11,11,김포,4.696793137194067,0.854215747474233,1.4152987084005513,0.12426156312251012,11,3,1.5775923504640337,0.16322040022847942,14,1.4368823816937188,0.12382057774757228,10,4
bus_28,28,양평,1.259379249219411,0.2290459799488178,1.423885311294138,0.11910884998341119,18,3,1.578214797302841,0.16597129086887352,13,1.4001401836792133,0.11088578789627429,18,5
bus_172,172,양산,3.6288095146339043,0.6599792968179278,1.4160142676292886,0.12181943517354084,10,3,1.5822580831276492,0.16205662892312359,14,1.3984162562765154,0.11117120913461036,10,4
bus_87,87,예천,0.45820326082639834,0.0833344006237804,1.36605638152197,0.10859049904680171,18,3,1.582768879950372,0.16475590525476588,13,1.3075062804480961,0.0884643502360081,18,5
bus_81,81,제천,1.26938877624796,0.23086643389745903,1.4178165237070643,0.1203309560320708,10,3,1.5841918961131791,0.16201262528717578,13,1.4248424057471827,0.11943651447059932,10,3
bus_93,93,상주,0.8153270962496274,0.1482852713787923,1.3367310698499564,0.10206316030404172,11,3,1.584286210460614,0.165716717454813,13,1.2454215705846525,0.07093676572288013,9,4
bus_144,144,진도,2.3214214195846075,0.4222018460701957,1.3647895723233179,0.10203462916230932,19,3,1.584522291298481,0.16847844695960723,13,1.2515400695303398,0.06649354917571555,18,5
bus_115,115,장수,0.2279556326151833,0.041458775257381474,1.234478983100048,0.07036918163451591,18,3,1.585502259666877,0.16570084916801905,13,1.1923874109603134,0.04854549510994042,8,5
bus_91,91,보은,0.5291803495210204,0.09624315455477483,1.3705655744042569,0.10895496340906703,11,3,1.5857017675860314,0.16682504929492029,13,1.3059762305110605,0.08440240157778063,10,3
bus_143,143,해남,2.3679698068587194,0.4306677001684305,1.353967533292933,0.10106459728483018,19,3,1.5904672663852721,0.16893705862150618,13,1.2476831427091684,0.06597177034661024,18,5
bus_110,110,전북,4.120491724328858,0.7494025850075526,1.391829823101588,0.11954114007343809,11,3,1.5932424434567354,0.16750723618107202,13,1.3803668208201938,0.10798645680532842,10,3
bus_112,112,진안,0.21423397548540013,0.038963188319800196,1.305884413077024,0.091970963357372,11,3,1.593536658809376,0.1667552930135851,13,1.2099196763200666,0.055348585249049634,8,5
bus_170,170,밀양,1.3951413655582374,0.2537373245108516,1.3072288260676561,0.09079341788000421,10,3,1.5944912172762062,0.16589185954223035,14,1.197612735684039,0.046105861986661244,8,6
bus_177,177,경남,3.290171059263231,0.5983904014102852,1.402887816145856,0.11971836423311455,10,4,1.5948351082515806,0.16446557407922965,14,1.3858785230691655,0.10930654480832087,9,5
bus_89,89,문경,0.6095689453129673,0.11086359927886288,1.3723041692354492,0.111457314593874,11,3,1.5961689648109956,0.16808879641301833,13,1.3293058430781475,0.09221535671403054,10,3
bus_35,35,시흥,3.2234242375282864,0.5862510151195984,1.4209478222823233,0.12623073843167495,11,4,1.5969848394817379,0.16611909187594817,14,1.4316993622834229,0.12251450346399392,10,4
bus_104,104,논산,1.727931504185842,0.31426257412609504,1.3613933494716635,0.10775706478440614,11,3,1.5977273447016958,0.16747664098418213,13,1.2714037670219316,0.07452293392740854,9,4
